ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q5271504,Diane Lee,Taiwaneese politician,Lee Ching-an,李慶安,台湾政治人物,李庆安,Kuomintang
Q5949052,Woo Tsin-hang,Chinese scholar,None,吳敬恆,None,吳稚暉,Kuomintang
Q5924386,Hsu Hai-ching,Taiwanese gangster,None,許海清,None,蚊哥,Kuomintang
Q385605,Jack C. K. Teng,"Minister of Civil Service, Examination Yuan, Taiwan",None,鄧傳楷,中華民國考試院銓敘部部長,None,Kuomintang
Q6441079,Kuan Chung-ming,Taiwan politician,Guan Zhongmin,管中閔,台湾经济学者,管中闵,Kuomintang
Q6663131,Lo Hsien-che,Chinese general,None,羅賢哲,None,None,Kuomintang
Q6653764,Liu Wen-hsiung,Taiwanese politician; member of the People First Party,None,劉文雄 (基隆市),None,劉文雄 (基隆),Kuomintang
Q8271165,King Pu-tsung,Taiwanese politician,Jin Pucong,金溥聰,台湾政治人物,金溥聪,Kuomintang
Q8272045,Lin Join-sane,Taiwanese politician,None,林中森,None,None,Kuomintang
Q8272933,Chen Chen-hsiang,politician,None,陳鎮湘,None,None,Kuomintang
Q8273023,Chen Zukang,Early Chinese Communist Party members.,None,陈祖康,None,None,Kuomintang
Q8273129,Chang Hsien-yao,Taiwanese politician,Zhang Xianyao,張顯耀,台湾政治人物,张显耀,Kuomintang
Q8273201,陳幼石,politician,None,陳幼石,None,None,Kuomintang
Q8273379,郭春涛,None,None,郭春涛,None,None,Kuomintang
Q8273461,高安國,None,None,高安國,None,None,Kuomintang
Q8273570,黃雲龍,None,None,黃雲龍,None,None,Kuomintang
Q8273912,華爾功成烈,None,None,華爾功成烈,None,None,Kuomintang
Q8273961,侯惠仙,None,None,侯惠仙,None,None,Kuomintang
Q8274066,許文志,None,None,許文志,臺灣政治人物，第9、10任雲林縣長,None,Kuomintang
Q8274931,呂學儀,None,None,呂學儀,None,None,Kuomintang
Q8274960,李儒聰,None,None,李儒聰,None,None,Kuomintang
Q8275077,李英明,None,None,李英明,None,None,Kuomintang
Q8275249,林正峰,politician,None,林正峰,None,林正峯,Kuomintang
Q8275570,Mei Siping,Chinese politician,None,梅思平,中国政治人物,None,Kuomintang
Q8277201,魏廷鶴,None,None,魏廷鶴,None,None,Kuomintang
Q8277922,Hsieh Yen-hsin,Taiwanese politician,None,謝言信,None,None,Kuomintang
Q8277984,Hsu Kan,Taiwanese politician,Xu Kan,徐堪,None,None,Kuomintang
Q8278780,游榮茂,None,None,游榮茂,None,None,Kuomintang
Q8278945,张静愚,None,None,张静愚,None,None,Kuomintang
Q8278964,Chang King-yuh,Taiwanese politician,Zhang Jingyu,張京育,None,None,Kuomintang
Q8279212,Zhang Jiajun,Taiwanese politician,None,張嘉郡,台湾政治人物,张嘉郡,Kuomintang
Q8279446,張廖乃綸,politician,None,張廖乃綸,None,None,Kuomintang
Q8279554,Yang Chao-hsiang,None,None,楊朝祥,None,None,Kuomintang
Q8279850,Chen Yuh-chang,Taiwanese politician,None,陳裕璋,None,None,Kuomintang
Q8280317,Ni Min-jan,Taiwanese actor and comedian,None,倪敏然,None,None,Kuomintang
Q8576911,Category:Kuomintang,Wikimedia category,None,Category:中國國民黨,维基媒体项目分类,None,Kuomintang
Q8956378,Fu Kun-chi,Taiwanese politician,Fu Kunqi,傅崐萁,台湾政治人物,None,Kuomintang
Q6753581,Mao Chi-kuo,Taiwanese politician,None,毛治國,None,None,Kuomintang
Q6653654,Liu Pang-yu,Taiwanese politician,None,劉邦友,None,None,Kuomintang
Q6513938,Lee Hong-yuan,Taiwanese politician,None,李鴻源,None,None,Kuomintang
Q6143085,James Shen,Chinese diplomat,None,沈劍虹,None,None,Kuomintang
Q557220,Feng Youlan,Chinese philosopher,None,冯友兰,None,"冯芝生,",Kuomintang
Q574453,Yu Youren,Taiwanese politician,Yü Yu-jen,于右任,None,None,Kuomintang
Q702934,Zhang Qun,Chinese politician,None,張群,None,張岳軍,Kuomintang
Q16259959,賴誠吉,politician,None,賴誠吉,None,None,Kuomintang
Q16260582,饒慶鈴,politician,None,饒慶鈴,None,None,Kuomintang
Q16905483,林久翔,None,None,林久翔,None,None,Kuomintang
Q15899595,丁超五,None,None,丁超五,None,None,Kuomintang
Q15915150,黃居素,None,None,黃居素,None,None,Kuomintang
Q30610992,劉啟光,None,None,劉啟光,None,None,Kuomintang
Q28417359,Hung Mong-kai,Taiwanese politician,Hong Mengkai,洪孟楷,台湾政治人物,None,Kuomintang
Q30941039,林國春,politician,None,林國春,None,林國春,Kuomintang
Q10919052,吳睿穎,None,None,吳睿穎,None,None,Kuomintang
Q10333100,李厚高,None,None,李厚高,None,None,Kuomintang
Q5071594,Chang Chi-yun,"Chinese historian and educator, Minister of Education of the Republic of China",None,張其昀,None,"張其盷,",Kuomintang
Q4501999,Huang Ta-chou,Taiwanese politician,Huang Dazhou,黃大洲,台湾政治人物,黄大洲,Kuomintang
Q1915460,Tien-Fong Cheng,Chinese politician and university president,None,"程天放,",None,None,Kuomintang
Q13428851,Tsai Ling-yi,Second Lady of Taiwan,Cai Lingyi,蔡令怡,吴敦义夫人,None,Kuomintang
Q3436012,Kwoh-Ting Li,Taiwanese politician,Li Guoding,李國鼎,中华民国政治家、经济学家,李国鼎,Kuomintang
Q55708811,楊阿壽,None,None,楊阿壽,None,None,Kuomintang
Q10295896,張軍堂,None,None,張軍堂,None,None,Kuomintang
Q15930085,莊伯仲,None,None,莊伯仲,None,None,Kuomintang
Q16075650,程冠珊,None,None,程冠珊,None,None,Kuomintang
Q19825486,俞叔平,None,None,俞叔平,None,None,Kuomintang
Q532587,Song Jiaoren,Chinese revolutionary,Sung Chiao-jen,宋教仁,中国革命者,敦初,Kuomintang
Q281514,Long Yun,Chinese politician,Yun Long,龙云,None,None,Kuomintang
Q20063559,林家興,None,None,林家興,None,None,Kuomintang
Q15902640,Hsu Tsai-li,Mayor of Keelung,None,許財利,None,None,Kuomintang
Q19849578,Huang Lin-shu,Member of the Legislative Yuan,Huang Linshu,黃麟書,None,None,Kuomintang
Q10932037,Xia Douyin,None,None,夏斗寅,None,None,Kuomintang
Q11091182,曹浩森,None,None,曹浩森,None,None,Kuomintang
Q24839448,Chen Yi-ming,Taiwanese politician,Chen Yimin,陳宜民,台湾政治人物,陈宜民,Kuomintang
Q11118685,楊清欽,None,None,楊清欽,None,None,Kuomintang
Q9370915,陳鳳馨,None,None,陳鳳馨,None,None,Kuomintang
Q16978501,Ango Tai,None,Tai An-kuo,戴安國,None,None,Kuomintang
Q22099334,盧釗,None,None,盧釗,None,None,Kuomintang
Q24836821,Hsiao Shui-li,Taiwanese politician,Xiao Shuli,蕭淑麗,台湾政治人物,萧淑丽,Kuomintang
Q28416553,鄭戴麗香,politician,None,鄭戴麗香,None,鄭戴麗香,Kuomintang
Q26250852,陳尚文,None,None,陳尚文,None,None,Kuomintang
Q48911984,沈榮,None,None,沈榮,None,None,Kuomintang
Q706735,Hsu Hsin-liang,Taiwanese politician,Xu Xinliang,許信良,台湾政治人物,许信良,Kuomintang
Q699378,Chen Jieru,Chinese writer,None,陳潔如,None,陈洁如,Kuomintang
Q16574,Chiang Kai-shek,Chinese politician and military leader,Jiang Zhongzheng,蔣中正,中華民國政治人物及軍事家,蔣介石,Kuomintang
Q698775,Fang Zhenwu,Chinese murder victim,Fang Cheng-wu,方振武,None,None,Kuomintang
Q702416,Dai Li,Chinese general,None,戴笠,None,戴雨農,Kuomintang
Q19796,Cai Yuanpei,"Chinese educator, Esperantist and the president of Peking University",None,蔡元培,None,None,Kuomintang
Q8272567,释清定,None,None,释清定,None,None,Kuomintang
Q8272755,Lin Yi-shih,Taiwanese politician,None,林益世,None,None,Kuomintang
Q8273311,Fang Yongzheng,None,None,方永蒸,None,None,Kuomintang
Q8273375,桂永清,None,None,桂永清,None,None,Kuomintang
Q8273415,郭政一,None,None,郭政一,None,None,Kuomintang
Q8273828,黃武仁,None,None,黃武仁,None,None,Kuomintang
Q8273920,Huo Shou-yeh,None,None,霍守業,None,None,Kuomintang
Q8275479,Luo Ben-li,None,None,羅本立,None,None,Kuomintang
Q8275573,梅恕曾,None,None,梅恕曾,None,None,Kuomintang
Q8275626,Ma La Ku Mai,Taiwanese politician,None,馬賴·古麥,高天來，台灣泰雅族政治人物,高天來,Kuomintang
Q8275802,Qian Dajun,None,None,錢大鈞,None,None,Kuomintang
Q8275993,邱俊男,None,None,邱俊男,None,None,Kuomintang
Q8276466,Shyu Jong-shyong,None,None,徐中雄,None,None,Kuomintang
Q8276630,Su Yeong-chin,Taiwanese politician,Yeong-chin Su,蘇永欽,台湾法学家,苏永钦,Kuomintang
Q8276916,施慧萍,politician,None,施慧萍,None,None,Kuomintang
Q8277691,王滔夫,None,None,王滔夫,None,None,Kuomintang
Q8277801,夏功权,None,None,夏功权,None,None,Kuomintang
Q8278820,Yen Kuan-heng,Taiwanese politician,None,顏寬恒,None,None,Kuomintang
Q8279244,張文儀,None,None,張文儀,None,None,Kuomintang
Q8279259,張清源,None,None,張清源,None,None,Kuomintang
Q6550125,Lin Yang-kang,Taiwanese politician,Lin Yanggang,林洋港,台湾政治人物,None,Kuomintang
Q2933172,Cai Gongshi,Chinese diplomat,None,蔡公时,中国外交官,蔡公時,Kuomintang
Q5125966,Clara Chou,Taiwanese politician,Zhou Yukou,周玉蔻,台湾新闻评论员,None,Kuomintang
Q5932181,Luo Zhuoying,Chinese general,None,羅卓英,None,None,Kuomintang
Q8026049,Winston Chang,taiwanese academic,Winston Hsiao-tzu Chang,章孝慈,None,None,Kuomintang
Q8051206,Yeh Ming-hsun,Chinese journalist,None,葉明勳,None,None,Kuomintang
Q10900397,Liu Yu-you,Taiwanese politician,None,劉裕猷,None,None,Kuomintang
Q9319126,Sheng Zhongliang,None,None,盛忠亮,None,None,Kuomintang
Q3575376,Zhang Renjie,Chinese political leader,Zhang Jingjiang,張靜江,中国政治人物,张人杰,Kuomintang
Q3274102,Ding Guangen,Chinese politician,Guangen Ding,丁关根,None,丁關根,Kuomintang
Q8848756,方本仁,None,None,方本仁,None,None,Kuomintang
Q7967735,Wang Yu-chi,Taiwanese politician,None,王郁琦,None,None,Kuomintang
Q7967786,Wang Zihui,Chinese journalist and general,None,王子惠,None,None,Kuomintang
Q8976936,高文瑞,None,None,高文瑞,None,None,Kuomintang
Q8273852,黃秀孟,None,None,黃秀孟,None,None,Kuomintang
Q8274088,Hsieh Kuo-liang,Taiwanese politician,None,謝國樑,None,None,Kuomintang
Q8274380,梁序昭,None,None,梁序昭,None,None,Kuomintang
Q8274428,Lin Cheng-chieh,Taiwanese politician,None,林正杰,None,None,Kuomintang
Q8275068,李源泉,None,None,李源泉,None,None,Kuomintang
Q8275120,林健治,None,None,林健治,None,None,Kuomintang
Q8275555,马空群,None,None,马空群,None,None,Kuomintang
Q8275855,邱中岳,None,None,邱中岳,None,None,Kuomintang
Q8276206,Shen Chang-huan,None,None,沈昌煥,None,None,Kuomintang
Q8277157,王铁汉,None,None,王铁汉,None,None,Kuomintang
Q8277261,John Wu,Taiwanese politician,None,吳志揚,None,None,Kuomintang
Q8277812,解維哲,None,None,解維哲,None,None,Kuomintang
Q8279229,張宏年,politician,None,張宏年,None,None,Kuomintang
Q8279335,莊金生,None,None,莊金生,None,None,Kuomintang
Q8279409,丁德先,None,None,丁德先,None,None,Kuomintang
Q8280373,謝金汀,politician,None,謝金汀,None,None,Kuomintang
Q8271327,叶楚伧,None,None,叶楚伧,None,None,Kuomintang
Q8272119,Chen Shimeng,Taiwanese politician,None,陳師孟,台湾政治人物,陈师孟,Kuomintang
Q8272578,齊世英,None,None,齊世英,None,None,Kuomintang
Q8272726,李玉階,None,None,李玉階,None,None,Kuomintang
Q8273125,張秋華,None,None,張秋華,None,None,Kuomintang
Q9314650,王慶豐,None,None,王慶豐,None,None,Kuomintang
Q10921142,周震鳞,None,None,周震鳞,None,周震麟,Kuomintang
Q11522471,Li Wenfan,None,None,李文範,None,None,Kuomintang
