ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q8427541,Category:Crime in Nova Scotia,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q8427553,Category:Crime in Palau,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q7999397,Category:Crime in Latvia,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q9686818,Category:Crime in Korea,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q7252540,Providing material support for terrorism,None,None,None,None,None,Crime
Q11707045,Category:Crime in Kentucky,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q30617182,Category:May 2014 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
Q8392,Zoophilia,paraphilia involving a sexual fixation on non-human animal,Zoophilia,動物戀,None,None,Crime
Q8427642,Category:Crime in Wallis and Futuna,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427677,Category:Crime in the Pitcairn Islands,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8989477,Category:Crime in Austria,Wikimedia category,None,Category:奥地利罪案,维基媒体项目分类,None,Crime
Q13258638,Category:Crime in Suriname,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q7999322,Category:Crime in the Democratic Republic of the Congo,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q42866695,unlawful use of a weapon,None,None,None,None,None,Crime
Q56105443,aiding the enemy,act of crime in military law,None,None,None,None,Crime
Q2026760,victimless crime,illegal act involving only consenting adults (possibly only the perpetrator); e.g. possession of contraband; homosexual sex; polygamy; adultery; fornication; prostitution; use or sale of recreational drugs,None,無被害者犯罪,None,None,Crime
Q7283,Terrorism,"use of violence as a form of political, economic and religious coercion",None,恐怖主義,None,恐怖主义,Crime
Q24327443,attempted arson,None,None,None,None,None,Crime
Q26220729,Category:March 2016 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
Q26257517,Category:October 2015 crimes,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q43414,sexual abuse,forcing undesired sexual behavior by one person upon another,molestation,性虐待,None,虐戀癖,Crime
Q8427411,Category:Crime in Idaho,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427480,Category:Crime in Maryland,Wikimedia category,None,Category:马里兰州罪案,维基媒体项目分类,None,Crime
Q8427502,Category:Crime in Nauru,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427575,Category:Crime in Saint Kitts and Nevis,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427621,Category:Crime in Switzerland,Wikimedia category,None,None,维基媒体分类,None,Crime
Q7023131,Nguyễn Văn Minh Tiến,Vietnamese thief catcher,None,None,None,None,Crime
Q7075799,occupational crime,crime that is committed through opportunity created in the course of legal occupation,None,None,None,None,Crime
Q21000630,Volkswagen emissions violations,Fraud on emissions tests using a defeat device from 2009 to 2015 by Volkswagen,emissionsgate,福斯集團汽車舞弊事件,None,None,Crime
Q386899,Hit and run,failing to stop after causing or contributing to a traffic accident,hit-and-run,肇事逃逸,None,None,Crime
Q329821,High treason,most serious crime committed against the state,None,高度叛国,None,None,Crime
Q1259959,drug possession,crime of possessing illegal drugs,None,None,None,None,Crime
Q6213325,Category:Crime in Tunisia,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
Q5153559,common law offence,type of crimes in Commonwealth jurisdictions,None,普通法罪行,None,None,Crime
Q5185167,Crime 360,American reality television show,None,None,None,None,Crime
Q30616963,Category:January 2016 crimes in Europe,Wikimedia category,None,None,维基媒体分类,None,Crime
Q30617189,Category:June 2013 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
Q18786600,Lamentation,book by C. J. Sansom,None,None,None,None,Crime
Q29888559,Category:April 2017 crimes in the United States,Wikimedia category,None,None,维基媒体分类,None,Crime
Q25174971,Murder of Giulio Regeni,None,None,None,None,None,Crime
Q598041,Prison escape,act of an inmate leaving prison through unofficial or illegal ways,Escapes,越獄,None,None,Crime
Q559225,The Alcasser Girls,"three teenage girls from Alcàsser, Spain, who were raped, tortured and murdered",b7jh,None,None,None,Crime
Q513696,The Broken Window,book,None,None,None,None,Crime
Q163942,stalking,crime,stalk,纏擾,None,None,Crime
Q5296225,Donkey Punch,book by Ray Banks,None,None,None,None,Crime
Q20810821,Aluu four lynching,criminal case,None,None,None,None,Crime
Q30617174,Category:November 2014 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
Q24702442,possession of an offensive weapon,crime in England and Wales,None,None,None,None,Crime
Q54868577,Bürger verunsichert – Wie umgehen mit kriminellen Zuwanderern?,episode of German talk show Anne Will (S10 E12),None,None,None,None,Crime
Q8427412,Category:Crime in Illinois,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427493,Category:Crime in Mongolia,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427578,Category:Crime in Samoa,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427655,Category:Crime in Wisconsin,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q10883616,Category:Crime in Honduras,Wikimedia category,Crime in Honduras,None,维基媒体项目分类,None,Crime
Q10088684,Category:Crime in New Mexico,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q1055332,The Outsiders,1983 drama film from the United States directed by Francis Ford Coppola,Outsiders,小教父,None,None,Crime
Q3496097,Crime of aggression,None,None,侵略罪,None,None,Crime
Q5331161,Easy Street,book by Susan Berman,None,None,None,None,Crime
Q4696786,Aiding and abetting,legal doctrine,None,None,None,None,Crime
Q56239871,Momo Challenge,None,None,None,None,None,Crime
Q8464151,Crime of Cuenca,None,None,None,None,None,Crime
Q8427457,Category:Crime in Liechtenstein,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427668,Category:Crime in the Dominican Republic,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q6213289,Category:Crime in Burkina Faso,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q25391961,gas chamber,None,None,None,None,None,Crime
Q29004283,Category:March 2017 crimes,Wikimedia category,None,None,维基媒体分类,None,Crime
Q32920644,malicious communications,crime under UK law,None,None,None,None,Crime
Q8427272,Category:Crime in Arkansas,Wikimedia category,None,None,维基媒体项目分类,None,Crime
Q8427487,Category:Crime in Michigan,Wikimedia category,None,Category:密歇根州罪案,维基媒体项目分类,None,Crime
Q7739970,The Hollow Man,book by Oliver Harris,None,None,None,None,Crime
Q7177951,Category:Executed people by crime,Wikimedia category page,None,Category:各犯行被處決者,维基媒体项目分类,None,Crime
Q4774279,Anti-Soviet agitation,None,None,None,None,None,Crime
Q4676786,deliberate murder,intentionally causing the death of another human being after rationally considering the timing or method of doing so,premeditated murder,蓄意謀殺,在理性考慮這樣做的時間或方法後故意造成另一人的死亡,None,Crime
Q7999414,Category:Crime in Myanmar,Wikimedia category page,None,None,维基媒体项目分类,None,Crime
