ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q180654,Occupy Wall Street,2011 protest movement,OWS,佔領華爾街,None,占据华尔街,Protest
Q210005,2011 Yemeni revolution,None,Yemeni Revolution,2011年葉門反政府示威,None,None,Protest
Q6876134,Miss America protest,Demonstration held at the Miss America 1969,Bra-burning,None,None,None,Protest
Q389646,Baltic Way,protest,None,波羅的海之路,None,None,Protest
Q55708531,2017 Sing China protest,None,None,2017年中國新歌聲上海·臺北音樂節抗議事件,None,None,Protest
Q6747727,Mandal Commission protests of 1990,protest against reservation in India,Mandal protests,None,None,None,Protest
Q7879506,2013 Anti-Sri Lanka protests,None,None,None,None,None,Protest
Q2457479,2011 Albanian opposition demonstrations,None,None,None,None,None,Protest
Q4896242,Besharmi Morcha,None,None,None,None,None,Protest
Q4620456,2011 Azerbaijani protests,None,None,None,None,None,Protest
Q1144666,2011–2012 Moroccan protests,protest,None,None,None,None,Protest
Q948130,2012 Romanian protests,protest,None,None,None,None,Protest
Q30242458,Hirak movement in the Rif,None,Hirak Rif,None,None,None,Protest
Q47009281,Protests against Guardianship of the Islamic Jurist,Protests includes opposition to Guardianship of the Islamic Jurist,Protests against Vilayat-e Faqih,None,None,None,Protest
Q16868997,Bahrain Tamarod,None,None,None,None,None,Protest
Q27643296,Dakota Access Pipeline protests,None,#NoDAPL,2016年达科他州反对输油管道事件,None,None,Protest
Q1890705,1968 Olympics Black Power salute,None,None,None,None,None,Protest
Q3877435,No Berlusconi day,None,None,None,None,None,Protest
Q3924246,2011 Palestinian protests,None,None,None,None,None,Protest
Q4616558,2010 Air Untuk Rakyat rally,None,None,None,None,None,Protest
Q4625375,2012 Ecuadorian protests,None,None,None,None,None,Protest
Q27546510,Community Art Workers Mural,Community Art Workers Mural at RMIT,None,None,None,None,Protest
Q7452198,"September 24, 2005 anti-war protest",None,None,None,None,None,Protest
Q5176895,counter-protest,None,None,None,None,None,Protest
Q14716293,Million People March,protests in the Philippines calling for the abolition of the entire Pork Barrel fund,None,None,None,None,Protest
Q17001371,2014 May Day protests,None,None,None,None,None,Protest
Q16836542,2006 anti-NATO protests in Feodosiya,None,None,None,None,None,Protest
Q33000153,2017 Baduria riots,None,None,None,None,None,Protest
Q3436429,1992 anti-war protests in Sarajevo,None,None,None,None,None,Protest
Q3649788,Protests regarding 2008 South Ossetia war,None,None,None,None,None,Protest
Q645920,Protestation at Speyer,None,None,None,None,None,Protest
Q4608816,2007 MacArthur Park rallies,None,None,None,None,None,Protest
Q4610694,2008 Cameroonian anti-government protests,None,None,None,None,None,Protest
Q4568955,1957 Alexandra Bus Boycott,None,None,None,None,None,Protest
Q11587442,Sunagawa struggle,protest,None,None,None,None,Protest
Q28840289,protests against the impeachment of Park Geun-hye,None,None,None,None,None,Protest
Q28100410,Women's March on Washington,worldwide political rallies for women's rights,2017 Women's Marches,2017年女性大游行,None,None,Protest
Q43670909,2017 Tehreek-e-Labaik protest,None,None,None,None,None,Protest
Q48724634,2016 NIT Srinagar Student Protests,None,None,None,None,None,Protest
Q54820039,Silent protest,"Protests against Andrej Babiš, 2018-05-22",None,None,None,None,Protest
Q56046896,Demonstrations for the freedom of Salim Yezza in Inoughissen,Demonstrations in Algeria,None,None,None,None,Protest
Q55749142,Demonstrations for the freedom of Salim Yezza in Tkoutt,Demonstrations in Algeria,None,None,None,None,Protest
Q18509053,2014 Kurdish riots in Turkey,None,None,None,None,None,Protest
Q10859567,2011–12 Iranian protests,None,None,None,None,None,Protest
Q16886657,2014 Vietnam anti-China protest,None,None,2014年越南排華暴動,2014年越南排华暴动，或称2014年越南反中暴动、2014年越南反华暴乱，是指2014年5月13日起，发生在越南的多起大规模民众反华示威运动。,None,Protest
Q16241270,2013 Puerto Rico teachers protest,None,None,None,None,None,Protest
Q17155623,Timeline of the 2014 Venezuelan protests,None,None,2014年委内瑞拉示威时间轴,None,None,Protest
Q4645187,8N,None,None,None,None,None,Protest
Q2672769,Republic Protests,None,None,共和示威,None,None,Protest
