from_id,to_id,relationship
Q191811,Q2041543,P1343
Q191811,Q13955,P407
Q191811,Q3026787,P31
U205,Q970573,related
U205,Q4730359,related
U205,Q4730361,related
U205,Q191811,related
Q931510,Q8555709,P910
Q931510,Q58158117,P279
Q931510,Q1969448,P31
U206,Q931510,related
P451,Q23036836,P2875
P451,Q25796498,P2302
P451,Q3342,P1647
P451,Q44597997,P31
P451,Q841509,P1629
P451,Q3816,P1855
P451,Q26,P1659
P451,Q451,P1696
Q625369,Q6581072,P1552
Q625369,Q10017612,P910
Q625369,Q5784340,P279
Q625369,Q21095715,P1889
Q625369,Q12737077,P31
Q2699785,Q145,P495
Q2699785,Q6590562,P1811
Q2699785,Q7183851,P57
Q2699785,Q7387197,P170
Q2699785,Q191472,P449
Q2699785,Q1860,P364
Q2699785,Q2468792,P161
Q2699785,Q1366112,P136
Q2699785,Q5398426,P31
U328,P451,related
U328,Q625369,related
U328,Q2699785,related
Q3119415,Q299122,P86
Q3119415,Q131231,P175
Q3119415,Q30,P495
Q3119415,Q7366,P31
Q3119415,Q483352,P136
Q3119415,Q527183,P361
Q3119415,Q299122,P676
Q3119415,Q466649,P264
Q21073605,Q4167410,P31
Q44311,Q7028997,P910
U372,Q3119415,related
U372,Q21073605,related
U372,Q44311,related
Q152081,Q40357,P279
Q152081,Q8551774,P910
Q152081,Q41176,P31
Q152081,Q2657718,P1343
U395,Q152081,related
Q848638,Q55312395,P131
Q848638,Q55817342,P910
Q848638,Q7930330,P1792
Q848638,Q815330,P1376
Q848638,Q515,P31
Q848638,Q232,P17
Q848638,Q8076138,P1464
Q848638,Q602358,P1343
Q1315785,Q9187106,P910
Q1315785,Q82794,P31
Q6549315,Q4167410,P31
U416,Q848638,related
U416,Q1315785,related
U416,Q6549315,related
Q2439061,Q1539288,P279
U491,Q2439061,related
U492,Q11352435,related
U530,Q7933139,related
Q750215,Q17306449,P1424
Q750215,Q15883433,P3095
Q750215,Q7087206,P910
Q750215,Q3199915,P460
Q750215,Q1184244,P279
Q925737,Q32489,P520
Q925737,Q418096,P276
Q925737,Q750215,P31
Q925737,Q55327639,P910
Q192055,Q362,P2348
Q192055,Q170314,P361
Q192055,Q6392164,P910
Q192055,Q16666,P276
Q192055,Q750215,P31
U535,Q750215,related
U535,Q925737,related
U535,Q192055,related
Q99717,Q6617122,P1424
Q99717,Q30947620,P527
Q99717,Q18301,P170
Q99717,Q9533816,P910
Q99717,Q22828330,P2959
Q99717,Q148,P17
Q99717,Q164055,P276
Q99717,Q99850,P737
Q99717,Q1679887,P31
Q7165608,Q956,P131
Q7165608,Q1656682,P31
Q7165608,Q148,P17
Q7165608,Q956,P276
Q7165608,Q99717,P361
U547,Q99717,related
U547,Q7165608,related
U547,Q22828330,related
Q844505,Q16959,P131
Q844505,Q16959,P276
Q844505,Q148,P17
Q844505,Q124757,P31
Q15889888,Q4167410,P31
U548,Q844505,related
U548,Q15889888,related
Q1054334,Q59107,P276
Q1054334,Q124757,P31
U552,Q1054334,related
Q2268488,Q658240,P276
Q2268488,Q168983,P31
Q2268488,Q9531270,P910
U555,Q2268488,related
Q1638200,Q28145984,P1754
Q1638200,Q5710433,P360
Q1638200,Q13406463,P31
Q5710433,Q4456236,P664
Q5710433,Q81672,P279
Q5710433,Q7283,P1269
Q5710433,Q1638200,P2354
Q5710433,Q5868913,P1424
Q5710433,Q8844211,P910
Q5710433,Q2657718,P1343
U565,Q1638200,related
U565,Q5710433,related
Q16823304,Q124757,P31
Q16823304,Q30,P17
Q6412181,Q25092733,P910
Q331195,Q30,P27
Q331195,Q149086,P1196
Q331195,Q18042461,P735
Q331195,Q60,P19
Q331195,Q1760438,P69
Q331195,Q17144,P166
Q331195,Q6581097,P21
Q331195,Q4151606,P734
Q331195,Q1494,P20
Q331195,Q678551,P172
Q331195,Q5,P31
U569,Q16823304,related
U569,Q6412181,related
U569,Q331195,related
Q7768515,Q1860,P364
Q7768515,Q808479,P344
Q7768515,Q30,P495
Q7768515,Q484188,P921
Q7768515,Q21,P840
Q7768515,Q126399,P272
Q7768515,Q918762,P57
Q7768515,Q1268687,P793
Q7768515,Q126399,P750
Q7768515,Q838368,P462
Q7768515,Q2068010,P161
Q7768515,Q3388109,P58
Q7768515,Q364342,P162
Q7768515,Q226730,P136
Q7768515,Q11424,P31
Q44619,Q79871,P461
Q44619,Q14916351,P1542
Q44619,Q9357054,P361
Q44619,Q175854,P828
Q44619,Q7232869,P910
Q44619,Q16748867,P279
Q44619,Q9415,P31
Q7768518,Q815776,P264
Q7768518,Q523184,P175
Q7768518,Q7734358,P155
Q7768518,Q1860,P407
Q7768518,Q13551345,P156
Q7768518,Q482994,P31
Q6453020,Q5287,P364
Q6453020,Q11614896,P344
Q6453020,Q17,P495
Q6453020,Q11671389,P57
Q6453020,Q22006653,P462
Q6453020,Q3543632,P161
Q6453020,Q200092,P136
Q6453020,Q11424,P31
U570,Q7768515,related
U570,Q44619,related
U570,Q7768518,related
U570,Q6453020,related
Q1315911,Q2657718,P1343
U577,Q1315911,related
Q187436,Q366,P279
Q187436,Q8311154,P910
Q187436,Q2041543,P1343
U579,Q187436,related
Q39047086,Q492718,P750
Q39047086,Q23649982,P2684
Q39047086,Q884,P495
Q39047086,Q11424,P31
Q31184,Q31184,P461
Q31184,Q25098571,P279
Q31184,Q16979650,P361
Q31184,Q19327993,P910
Q31184,Q3373,P1687
Q31184,Q171318,P31
Q261545,Q9186,P364
Q261545,Q712178,P162
Q261545,Q8646,P495
Q261545,Q869,P840
Q261545,Q9086049,P57
Q261545,Q3110914,P161
Q261545,Q7224792,P86
Q261545,Q22006653,P462
Q261545,Q959790,P136
Q261545,Q11424,P31
Q11854637,Q1412,P364
Q11854637,Q33,P495
Q11854637,Q11858569,P57
Q11854637,Q11424,P31
Q14644448,Q3007834,P4908
Q14644448,Q14644432,P155
Q14644448,Q14644467,P156
Q14644448,Q169889,P449
Q14644448,Q210257,P179
Q14644448,Q21191270,P31
Q1192679,Q1860,P364
Q1192679,Q46952,P921
Q1192679,Q2278467,P166
Q1192679,Q4377007,P1411
Q1192679,Q4403233,P272
Q1192679,Q959790,P136
Q1192679,Q781183,P750
Q1192679,Q4071602,P344
Q1192679,Q159,P495
Q1192679,Q656,P840
Q1192679,Q1528731,P156
Q1192679,Q557323,P57
Q1192679,Q20644797,P1981
Q1192679,Q1862092,P86
Q1192679,Q22006653,P462
Q1192679,Q127888,P175
Q1192679,Q4363764,P161
Q1192679,Q557323,P58
Q1192679,Q2272712,P162
Q1192679,Q11424,P31
Q23999375,Q4167410,P31
Q10861465,Q31184,P461
Q10861465,Q6581097,P1552
Q10861465,Q3373,P1687
Q10861465,Q8441,P279
Q10861465,Q548320,P1889
Q10861465,Q171318,P31
P3373,Q27927382,P2875
P3373,Q18647515,P31
P3373,Q3373,P1696
P3373,Q31184,P1629
P3373,Q21510862,P2302
P3373,Q1038,P1647
P3373,Q7207,P1855
Q11246785,Q1054574,P136
Q11246785,Q5398426,P31
Q48896730,Q9186,P407
Q48896730,Q8646,P495
U584,Q39047086,related
U584,Q31184,related
U584,Q261545,related
U584,Q11854637,related
U584,Q14644448,related
U584,Q1192679,related
U584,Q23999375,related
U584,Q10861465,related
U584,P3373,related
U584,Q38277481,related
U584,Q11246785,related
U584,Q48896730,related
P22,Q22913739,P2875
P22,Q19474404,P2302
P22,Q26935994,P31
P22,Q7565,P1629
P22,Q191045,P1855
P22,Q42533250,P3734
P22,Q1038,P1647
P22,Q3448,P1659
P22,Q40,P1696
Q625829,Q9176,P364
Q625829,Q884,P495
Q625829,Q498825,P449
Q625829,Q9176,P407
Q625829,Q859369,P136
Q625829,Q5398426,P31
U585,P22,related
U585,Q625829,related
P25,Q22913754,P2875
P25,Q25796498,P2302
P25,Q28649030,P31
P25,Q7560,P1629
P25,Q40901,P1855
P25,Q42533257,P3734
P25,Q1038,P1647
P25,Q1290,P1659
P25,Q40,P1696
U587,P25,related
Q167918,Q3603531,P461
Q167918,Q9235758,P2670
Q167918,Q24882651,P279
Q167918,Q171318,P31
Q9238344,Q3603531,P461
Q9238344,Q6581097,P1552
Q9238344,Q19682162,P527
Q9238344,Q167918,P279
Q9238344,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
Q19682162,Q20776714,P461
Q19682162,Q267388,P179
Q19682162,Q28017566,P40
Q19682162,Q8441,P279
Q19682162,Q6581097,P1552
Q19682162,Q171318,P31
U589,Q167918,related
U589,Q56351053,related
U589,Q9238344,related
U589,P1038,related
U589,Q55531507,related
U589,Q19682162,related
Q167918,Q3603531,P461
Q167918,Q9235758,P2670
Q167918,Q24882651,P279
Q167918,Q171318,P31
Q20776714,Q19682162,P461
Q20776714,Q267388,P179
Q20776714,Q28017566,P40
Q20776714,Q28017613,P279
Q20776714,Q6581072,P1552
Q20776714,Q171318,P31
Q9235758,Q3603531,P461
Q9235758,Q6581072,P1552
Q9235758,Q167918,P279
Q9235758,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U590,Q167918,related
U590,Q20776714,related
U590,Q9235758,related
U590,P1038,related
U590,Q11588521,related
Q20776692,Q20776741,P461
Q20776692,Q267388,P179
Q20776692,Q28017564,P40
Q20776692,Q28017614,P279
Q20776692,Q6581097,P1552
Q20776692,Q171318,P31
Q167918,Q3603531,P461
Q167918,Q9235758,P2670
Q167918,Q24882651,P279
Q167918,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U591,Q20776692,related
U591,Q167918,related
U591,P1038,related
Q20776741,Q20776692,P461
Q20776741,Q267388,P179
Q20776741,Q28017564,P40
Q20776741,Q28017614,P279
Q20776741,Q6581072,P1552
Q20776741,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U592,Q20776741,related
U592,P1038,related
Q23684609,Q42302285,P461
Q23684609,Q11921506,P279
Q23684609,Q6581097,P1552
Q23684609,Q1186741,P1343
Q23684609,Q171318,P31
Q1207639,Q4167410,P31
Q3603531,Q167918,P461
Q3603531,Q19756330,P527
Q3603531,Q24882651,P279
Q3603531,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
Q2634383,Q170790,P106
Q2634383,Q29520,P19
Q2634383,Q13891793,P800
Q2634383,Q6581097,P21
Q2634383,Q12479,P101
Q2634383,Q5,P31
Q37151,Q43407,P19
Q37151,Q7850,P1412
Q37151,Q6581097,P21
Q37151,Q9991401,P910
Q37151,Q912068,P27
Q37151,Q3543591,P734
Q37151,Q10944647,P22
Q37151,Q47064,P106
Q37151,Q5891,P101
Q37151,Q912068,P20
Q37151,Q5,P31
U593,Q23684609,related
U593,Q1207639,related
U593,Q3603531,related
U593,P1038,related
U593,Q2634383,related
U593,Q37151,related
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
Q42302285,Q23684609,P461
Q42302285,Q42301475,P31
Q42302285,Q19756330,P279
Q42302285,Q6581072,P1552
U594,P1038,related
U594,Q42302285,related
P40,Q23908975,P2875
P40,Q1038,P1647
P40,Q22964231,P31
P40,Q239526,P1629
P40,Q122553,P1855
P40,Q42533370,P3734
P40,Q25796498,P2302
P40,Q3373,P1659
P40,Q25,P1696
Q308194,Q7566,P461
Q308194,Q11921506,P40
Q308194,Q38693655,P279
Q308194,Q6581072,P1552
Q308194,Q29553242,P910
Q308194,Q171318,P31
U595,P40,related
U595,Q308194,related
P40,Q23908975,P2875
P40,Q1038,P1647
P40,Q22964231,P31
P40,Q239526,P1629
P40,Q122553,P1855
P40,Q42533370,P3734
P40,Q25796498,P2302
P40,Q3373,P1659
P40,Q25,P1696
Q177232,Q7566,P461
Q177232,Q11921506,P40
Q177232,Q38693655,P279
Q177232,Q29553241,P910
Q177232,Q6581097,P1552
Q177232,Q171318,P31
Q4189052,Q626323,P750
Q4189052,Q9176,P364
Q4189052,Q884,P495
Q4189052,Q486039,P57
Q4189052,Q485773,P161
Q4189052,Q6513172,P86
Q4189052,Q130232,P136
Q4189052,Q489361,P162
Q4189052,Q11424,P31
U596,P40,related
U596,Q177232,related
U596,Q4189052,related
Q76557,Q6581097,P1552
Q76557,Q21073936,P279
Q76557,Q602358,P1343
Q76557,Q41805469,P1889
Q76557,Q171318,P31
Q10912818,Q12158205,P279
Q10912818,Q6581097,P1552
Q10912818,Q171318,P31
Q12158205,Q28017469,P461
Q12158205,Q6581097,P1552
Q12158205,Q8441,P279
Q12158205,Q41805469,P1889
Q12158205,Q171318,P31
P1038,Q23909074,P2875
P1038,Q3342,P1647
P1038,Q26935994,P31
P1038,Q171318,P1629
P1038,Q517,P1855
P1038,Q53869507,P2302
P1038,Q3448,P1659
P1038,Q1038,P1696
U597,Q76557,related
U597,Q10912818,related
U597,Q12158205,related
U597,P1038,related
Q76557,Q6581097,P1552
Q76557,Q21073936,P279
Q76557,Q602358,P1343
Q76557,Q41805469,P1889
Q76557,Q171318,P31
Q12158205,Q28017469,P461
Q12158205,Q6581097,P1552
