ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q9064138,温卡华,Chinese politician,None,温卡华,None,None,Politician
Q9066697,Wang Ping,Chinese politician,None,王萍,None,None,Politician
Q9041550,孙述涛,Chinese politician,None,孙述涛,None,None,Politician
Q8940094,Chen Wei,Chinese politician,None,陈伟 (枣庄市委书记),None,None,Politician
Q8941483,Chen Jinhua,Retired politician of the People's Republic of China,None,陈锦华,None,None,Politician
Q9206898,李永宏,Chinese politician,None,李永宏,None,None,Politician
Q9192266,朱志刚,None,None,朱志刚,None,None,Politician
Q8957138,方小方,Chinese politician,None,方小方,None,None,Politician
Q9026183,秦如培,Chinese politician,None,秦如培,None,None,Politician
Q8976098,贾万志,Chinese politician,None,贾万志,None,None,Politician
Q8990812,Liu Jinguo,Chinese politician,None,刘金国,None,None,Politician
Q9319031,皮黔生,None,None,皮黔生,None,None,Politician
Q9322207,程步云,Chinese politician,None,程步云,None,None,Politician
Q9324409,索曙辉,Chinese politician,None,索曙辉,None,None,Politician
Q9340693,袁启彤,Chinese politician,None,袁启彤,None,None,Politician
Q5034285,Cao Bochun,Chinese politician,None,曹伯纯,None,None,Politician
Q5067752,Chai Songyue,Chinese politician,None,柴松岳,None,None,Politician
Q3380963,Wang Taihua,Chinese politician,None,王太华,None,王太華,Politician
Q3835090,Du Xinwu,Chinese martial artist,None,杜心五,None,杜心武,Politician
Q4776833,Antonio Ng,Macanese politician,Antonio Ng Kuok Cheong,吳國昌,None,None,Politician
Q3571067,Xu Youyu,Chinese activist and scholar,None,徐友漁,None,None,Politician
Q10886506,余国春,Chinese politician,None,余国春,None,None,Politician
Q10901549,Bao Houchang,Chinese politician,None,包厚昌,None,None,Politician
Q11075369,戴绍安,Chinese politician,None,戴绍安,None,None,Politician
Q11203007,马哲民,Chinese politician,None,马哲民,None,None,Politician
Q11066617,Zhang Yong,Chinese politician,None,张勇,None,None,Politician
Q19220,Henry Tang,Hong Kong politician and businessman,Henry Tang Ying-yen,唐英年,香港商人和政治人物,None,Politician
Q197431,Zhao Dan,Chinese actor,None,赵丹,None,None,Politician
Q48936273,阮有秋,None,None,阮有秋,None,None,Politician
Q55696040,李江南,None,None,李江南,None,None,Politician
Q197347,Zhang Zhizhong,Chinese general and politician,None,張治中,中国将领,张治中,Politician
Q15027,Tung Chee-hwa,politician and businessman from Hong Kong,Tung Chee-hwa,董建華,香港商人及政治人物,董建华,Politician
Q45147,Xu Kuangdi,Chinese politician,None,徐匡迪,None,None,Politician
Q49296,Ronald Arculli,Hong Kong solicitor and politician,Ronald Joseph Arculli,夏佳理,香港律師及政治人物,None,Politician
Q19217,Carrie Lam,Chief Executive of Hong Kong,Carrie Lam Cheng Yuet-ngor,林鄭月娥,香港特別行政區行政長官,林郑月娥,Politician
Q712614,Han Dongfang,Chinese dissident,None,韓　東方.,None,韩东方,Politician
Q715770,Demchugdongrub,Mongol prince,None,德穆楚克栋鲁普,None,德穆楚克棟魯普親王,Politician
Q715990,Wang Lequan,Chinese politician,None,王乐泉,None,王樂泉,Politician
Q708802,Li Yuanchao,Chinese politician,None,李源潮,中共政治人物,李援朝,Politician
Q8248916,Keiken Go,Chinese politician,Wu Guixian,吴桂贤,None,None,Politician
Q8313334,Yang Yue,Chinese politician,None,杨岳 (福州市委书记),None,None,Politician
Q8291153,Sun Jinlong,Chinese politician,None,孙金龙,None,None,Politician
Q8291721,孙淦,Chinese politician,None,孙淦,None,None,Politician
Q8291883,Li Yumei,Chinese politician,None,李玉妹,None,None,Politician
Q8292187,Zhang Yijiong,Chinese politician,None,张裔炯,None,None,Politician
Q8292272,Ye Dongsong,None,None,叶冬松,None,None,Politician
Q8294190,Zou Jiahua,former Vice Premier of the People's Republic of China,None,邹家华,前中华人民共和国国务院副总理,None,Politician
Q8295058,Qiu Huizuo,politician (1914-2002),None,邱会作,None,None,Politician
Q8299003,韦纯束,Chinese politician,None,韦纯束,None,None,Politician
Q8264335,IONG Weng Ian,None,None,容永恩,None,None,Politician
Q8273357,Kao Hua-chu,Taiwanese politician,None,高華柱,None,None,Politician
Q6540016,Liang Xiang,Chinese politician,None,梁湘,None,None,Politician
Q8340415,Cao Keming,Cao Keming,None,曹克明,None,None,Politician
Q6172281,Zhu Shanlu,Chinese politician,None,朱善璐,中国政治人物,None,Politician
Q6126706,Yang Sen,Sichuan warlord and general,None,杨森,None,None,Politician
Q8972139,Huang Xiaoxiang,Chinese politician,None,黄小祥,None,None,Politician
Q9108834,关彦斌,Chinese politician,None,关彦斌,None,None,Politician
Q9066661,Wang Rongxuan,Chinese politician,None,王荣轩,None,None,Politician
Q9090795,张广智,Chinese politician,None,张广智,None,None,Politician
Q9091221,张晶川,Chinese politician,None,张晶川,None,None,Politician
Q9100419,么志义,Chinese politician,None,么志义,None,None,Politician
Q9145985,方新,Chinese politician,None,方新,None,None,Politician
Q9140108,Thomas Pang,Hong Kong politician,None,彭長緯,None,None,Politician
Q9188323,张延清,Chinese politician,None,张延清,None,None,Politician
Q9189989,Tsang Hin-chi,Hong Kong entrepreneur,Zeng Xianzi,曾憲梓,香港商人,曾宪梓,Politician
Q9318495,白介夫,Chinese politician,None,白介夫,None,None,Politician
Q9359369,金硕仁,Chinese politician,None,金硕仁,None,None,Politician
Q9364642,Chen Anyu,Chinese politician,None,陈安羽,None,None,Politician
Q9444512,马永胜,Chinese politician,None,马永胜,None,None,Politician
Q8989878,Liu Fusheng,Chinese politician,None,刘夫生,None,None,Politician
Q16904832,孙云飞,Chinese politician,None,孙云飞,None,None,Politician
Q16906014,王建华,Chinese politician,None,王建华,None,None,Politician
Q16907904,陈昌旭,Chinese politician,None,陈昌旭,None,None,Politician
Q16949678,玛丽亚·马提,Chinese politician,None,玛丽亚·马提,None,None,Politician
Q16921208,Wang Maoshe,Chinese politician,None,王茂设,None,None,Politician
Q16260239,张江汀,Chinese politician,None,张江汀,None,None,Politician
Q16076437,李亚,Chinese politician,None,李亚,None,None,Politician
Q15928828,纪友伟,Chinese politician,None,纪友伟,None,None,Politician
Q15931847,Wang Shitai,Chinese politician,None,王世泰,None,None,Politician
Q16590843,杨正平,Chinese politician,None,杨正平,None,None,Politician
Q8956144,Feng Lixiang,Chinese politician,None,丰立祥,None,None,Politician
Q8950425,杜梓,Chinese politician,None,杜梓,None,None,Politician
Q11095679,李同道,Chinese politician,None,李同道,None,None,Politician
Q11181951,龚敬政,Chinese politician,None,龚敬政,None,None,Politician
Q11106778,林笑云,None,None,林笑云,None,None,Politician
Q10897873,刘立军,Chinese politician,None,刘立军,None,None,Politician
Q5964482,Zhu Liangcai,Chinese general,None,朱良才,None,None,Politician
Q17499337,Wu Changshun,None,None,武长顺,None,None,Politician
Q18228462,Paul Zimmerman,Hong Kong politician,Paulus Johannes Zimmerman,司馬文,香港政治人物,司马文,Politician
Q28418366,Yang Side,Chinese major general,None,杨斯德,None,None,Politician
Q29414856,Francis Chaine,politician,None,None,None,None,Politician
Q439681,Ban Gu,Historian and poet,None,班固,None,"孟坚,",Politician
Q737894,He Guoqiang,Chinese politician,Guoqiang He,贺国强,None,賀國強,Politician
Q843890,Liang Baohua,Chinese politician,None,梁保华,None,梁保華,Politician
Q3267036,Lu Dingyi,Chinese politician,None,陸定一,None,None,Politician
Q3373894,Zhang Zuoji,Chinese politician,None,张左己,None,張左己,Politician
Q3287194,Mao Rubai,Chinese politician,None,毛如柏,None,None,Politician
Q3427746,Zhang Shuguang,"Communist Party Chief of Inner Mongolia, Governor of Hebei",None,张曙光 (省长),None,None,Politician
Q3139184,Wei Guoqing,韦国清; Wei Kuo-ching,None,韦国清,None,韋國清,Politician
Q4647143,Tang King Shing,Hong Kong police commissioner,None,鄧竟成,None,None,Politician
Q5541244,Tony Tse,Hong Kong politician,Xie Weiquan,謝偉銓,香港政治人物,谢伟铨,Politician
Q5520452,Gan Siqi,Chinese general,None,甘泗淇,None,None,Politician
Q24838246,甘霖,Chinese politician,None,甘霖,None,None,Politician
Q28409813,王爱文,Chinese politician,None,王爱文,None,None,Politician
Q23296693,Zhang Xueyi,Chinese politician,None,张学义,None,None,Politician
Q18977835,Chen Yixin,Chinese politician,None,陈一新,None,None,Politician
Q51103204,刘加军,Chinese politician,None,刘加军,None,None,Politician
Q51103388,王书茂,Chinese politician,None,王书茂,None,None,Politician
Q51103439,廖虹宇,Chinese politician,None,廖虹宇,None,None,Politician
Q51103500,阿迪力·阿不都热扎克,Chinese politician,None,阿迪力·阿不都热扎克,None,None,Politician
Q51103834,周松勃,Chinese politician,None,周松勃,None,None,Politician
Q51104105,刘丽芬,Chinese politician,None,刘丽芬,None,None,Politician
Q51104232,米忠义,Chinese politician,None,米忠义,None,None,Politician
Q51105703,吴列进,Chinese politician,None,吴列进,None,None,Politician
Q51105751,罗振,Chinese politician,None,罗振,None,None,Politician
Q51106041,钱万成,Chinese politician,None,钱万成,None,None,Politician
Q51106527,杨克宁,Chinese politician,None,杨克宁,None,None,Politician
Q51106765,黎志宏,Chinese politician,None,黎志宏,None,None,Politician
Q51090264,宗永祥,Chinese politician,None,宗永祥,None,None,Politician
Q51103126,鲁曼,Chinese politician,None,鲁曼,None,None,Politician
Q51103271,哈尼巴提·沙布开,Chinese politician,None,哈尼巴提·沙布开,None,None,Politician
Q51103660,喜清江,Chinese politician,None,喜清江,None,None,Politician
Q51104009,孙涛,Chinese politician,None,孙涛,None,None,Politician
Q51104079,史玉东,Chinese politician,None,史玉东,None,None,Politician
Q51104084,代喜院,Chinese politician,None,代喜院,None,None,Politician
Q51105888,章国强,Chinese politician,None,章国强,None,None,Politician
Q51105997,李彩云,Chinese politician,None,李彩云,None,None,Politician
Q51106114,李大义,Chinese politician,None,李大义,None,None,Politician
Q51106137,张子林,Chinese politician,None,张子林,None,None,Politician
Q51106161,贾红涛,Chinese politician,None,贾红涛,None,None,Politician
Q51106615,崔兴国,Chinese politician,None,崔兴国,None,None,Politician
Q51106793,彭祁,Chinese politician,None,彭祁,None,None,Politician
Q50969148,于海田,Chinese politician,None,于海田,None,None,Politician
Q1365182,Meng Jianzhu,Chinese politician,None,孟建柱,中国政治人物,None,Politician
Q930370,Lü Zushan,politician,None,吕祖善,None,呂祖善,Politician
Q2213172,Bagatur,Chinese politician,None,巴特尔,None,巴特爾,Politician
Q1872748,Lü Gengsong,Chinese activist,None,None,None,None,Politician
Q3270815,Qin Jiwei,Chinese general,None,秦基伟,None,None,Politician
Q3429283,Hua Jianmin,Chinese politician,None,华建敏,None,華建敏,Politician
Q3369461,Zhang Haiyang,Chinese general,None,张海阳,中共将领,張海陽,Politician
Q2933170,Cai Chang,Chinese politician,None,蔡畅,None,蔡暢,Politician
Q198003,Zhou Qiang,President of the Supreme People's Court of China,None,周强,中华人民共和国最高人民法院院长,None,Politician
Q126819,Julio Lozano Díaz,President of Honduras,Julio Lozano Diaz,None,None,None,Politician
Q711421,Li Weihan,Chinese politician,None,李维汉,None,李維漢,Politician
Q711461,Ren Rong,Chinese general,Ren Wuyun,任荣,中共将军,任榮,Politician
Q606539,Phuntsok Wangyal,Tibetan politician,None,平措汪杰,None,None,Politician
Q8291440,李克 (壮族),Chinese politician,None,李克 (壮族),None,None,Politician
Q8291687,Yin Yicui,Chinese politician,None,殷一璀,上海市人大常委会主任,None,Politician
Q8292160,杨松 (中共),Chinese politician,None,杨松 (中共),None,None,Politician
Q8292531,Li Yunfeng,None,None,李云峰,None,None,Politician
Q8293158,蔡树藩,None,None,蔡树藩,None,None,Politician
Q8293411,Tie Ying,None,None,铁瑛,None,None,Politician
Q8294047,Zhu Fuxi,Chinese politician,None,朱福熙,None,None,Politician
Q8295424,王光宇 (共和国),Chinese politician,None,王光宇 (共和国),None,None,Politician
Q8297855,臧胜业,Chinese politician,None,臧胜业,None,None,Politician
Q8297984,申振君,Chinese politician,None,申振君,None,None,Politician
Q8298289,李鹏新,Chinese politician,None,李鹏新,None,None,Politician
Q8288861,Liu Zhenhua,Chinese general and diplomat,Liu Chen-hua,劉振華,中共将领,刘振华,Politician
Q8290653,Zhang Xuesi,politician,None,張學思,None,None,Politician
Q8318683,Cheng Shikai,None,None,程世才,None,None,Politician
Q8313374,杜学芳,Chinese politician,None,杜学芳,None,None,Politician
Q8313498,Yu Yongbo,Chinese politician,None,于永波,None,None,Politician
Q8340063,Liu Xiwu,None,None,刘锡五,None,None,Politician
Q7807201,Timothy Fok,Hong Kong businessman,None,霍震霆,香港商人,None,Politician
Q7928811,Ye Xiaowen,Chinese government official,Xiaowen Ye,叶小文,None,None,Politician
Q7929951,Yu Guoxing,Chinese politician,None,俞国行,None,None,Politician
Q8932778,Cheng Hon-kwan,Hong Kong politician and engineers,None,鄭漢鈞,None,None,Politician
Q9071699,许立全,Chinese politician,None,许立全,None,None,Politician
Q9079798,姚志平,Chinese politician,None,姚志平,None,None,Politician
Q9106136,佟星,Chinese politician,None,佟星,None,None,Politician
Q9314019,王安庞,Chinese politician,None,王安庞,None,None,Politician
Q8963158,郭光文,Chinese politician,None,郭光文,None,None,Politician
Q9010872,缪合林,Chinese politician,None,缪合林,None,None,Politician
Q8996367,李金柱,Chinese politician,None,李金柱,None,None,Politician
Q15915228,Shen Peiping,Chinese politician,None,沈培平,None,None,Politician
Q15930653,唐俊昌,Chinese politician,None,唐俊昌,None,None,Politician
Q20742180,李玉亭,Chinese politician,None,李玉亭,None,None,Politician
Q19825327,沈求我,Chinese politician,None,沈求我,None,None,Politician
Q20062565,刘奇凡,Chinese politician,None,刘奇凡,None,None,Politician
Q6538804,Li Haifeng,Chinese politician,None,李海峰,None,None,Politician
Q7216297,Qin Gang,politician,None,秦刚,None,None,Politician
Q16906959,虞爱华,Chinese politician,None,虞爱华,None,None,Politician
Q16907003,Pei Lisheng,Chinese politician,None,裴丽生,None,None,Politician
Q16908178,马以,Chinese politician,None,马以,None,None,Politician
Q16904970,席蔚菁,None,None,席蔚菁,None,None,Politician
Q16906167,王秀芝,Chinese politician,None,王秀芝,None,None,Politician
Q16906730,苏力坦·加依纳克,Chinese politician,None,苏力坦·加依纳克,None,None,Politician
Q17040389,赵启宝,Chinese politician,None,赵启宝,None,None,Politician
Q18753705,陈建生,Chinese politician,None,陈建生,None,None,Politician
Q18753717,舒庆,Chinese politician,None,舒庆,None,None,Politician
Q18914249,张保庆,Chinese politician,None,张保庆,None,None,Politician
Q19645343,Xu Mengjia,Chinese politician,None,徐孟加,None,None,Politician
Q21604834,Lin Lanying,Chinese materials scientist,Lanying Lin,林兰英,None,None,Politician
Q51102925,王吉永,Chinese politician,None,王吉永,None,None,Politician
Q51103054,侯学元,Chinese politician,None,侯学元,None,None,Politician
Q51103183,温娟,Chinese politician,None,温娟,None,None,Politician
Q51103518,叶尔江·朱安汗,Chinese politician,None,叶尔江·朱安汗,None,None,Politician
Q51103644,王东新,Chinese politician,None,王东新,None,None,Politician
Q51104364,涂冬,Chinese politician,None,涂冬,None,None,Politician
Q51106130,宋宏伟,Chinese politician,None,宋宏伟,None,None,Politician
Q51106217,孔晓宏,Chinese politician,None,孔晓宏,None,None,Politician
Q51106315,李小莉,Chinese politician,None,李小莉,None,None,Politician
Q51106337,车轼,Chinese politician,None,车轼,None,None,Politician
Q51106349,仪爱文,Chinese politician,None,仪爱文,None,None,Politician
Q51106390,许传江,Chinese politician,None,许传江,None,None,Politician
Q51106409,李树睦,Chinese politician,None,李树睦,None,None,Politician
Q51106413,李宽端,Chinese politician,None,李宽端,None,None,Politician
Q400299,Sang Guowei,Chinese Politician,None,桑国卫,None,None,Politician
Q551462,Chen Quanguo,Secretary of Chinese Communist Party of Xinjiang,None,陈全国,中共新疆维吾尔自治区党委书记,None,Politician
Q715411,Ren Bishi,Secretary of the Communist Party of China,None,任弼时,中国共产党五大书记之一,"任弼時,",Politician
Q734914,Wang Yang,Member of the Politburo Standing Committee of the Communist Party of China,None,汪洋,中国共产党中央政治局常务委员会委员,None,Politician
Q712070,Wang Youcai,Tiananmen Square Student Leader,None,王有才,None,None,Politician
Q688508,Chen Zhu,"Chinese hematologist, molecular biologist and politician",None,陳竺,中國衛生部部長,None,Politician
Q698131,Tang Shengzhi,Chinese politician,None,唐生智,None,None,Politician
Q699246,Liu Qi,Chinese politician,None,刘淇,十七届中共中央政治局委员,劉淇,Politician
Q702194,Xu Xiangqian,Chinese politician and field marshal,None,徐向前,中共将领,徐子敬,Politician
