ori_id,name,descriptions,aliases,name_zh,descriptions_zh,aliases_zh,:LABEL
Q10296440,Xu Xuehan,Chinese economist,None,徐雪寒,None,None,Official
Q11129049,District officer,"head of a district office in Hong Kong, the Government representative at the district level",None,民政事務專員,None,民政主任計劃,Official
Q599151,Official,someone who holds an office,higher civil servant,官員,None,官员,Official
